ID,Geburtsjahr,Bildungsniveau,Familienstand,Einkommen,Kinder_zu_Hause,Teenager_zu_Hause,Datum_Kunde,Letzter_Kauf_Tage,Beschwerde,Ausgaben_Wein,Ausgaben_Obst,Ausgaben_Fleisch,Ausgaben_Fisch,Ausgaben_Süßigkeiten,Ausgaben_Gold,Anzahl_Rabattkäufe,Anzahl_Webkäufe,Anzahl_Katalogkäufe,Anzahl_Ladeneinkäufe,Anzahl_WebBesuche_Monat,Kampagne_1_Akzeptiert,Kampagne_2_Akzeptiert,Kampagne_3_Akzeptiert,Kampagne_4_Akzeptiert,Kampagne_5_Akzeptiert,Antwort_Letzte_Kampagne
5524,1967,Hochschulabschluss,Ledig,58138.0,0,0,04-09-2022,58,0,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,1
2174,1964,Hochschulabschluss,Ledig,46344.0,1,1,08-03-2024,38,0,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0
4141,1975,Hochschulabschluss,Zusammenlebend,71613.0,0,0,21-08-2023,26,0,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0
6182,1994,Hochschulabschluss,Zusammenlebend,26646.0,1,0,10-02-2024,26,0,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0
5324,1991,Doktor,Verheiratet,58293.0,1,0,19-01-2024,94,0,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0
7446,1977,Master,Zusammenlebend,62513.0,0,1,09-09-2023,16,0,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0
965,1981,Hochschulabschluss,Geschieden,55635.0,0,1,13-11-2022,34,0,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0
6177,1995,Doktor,Verheiratet,33454.0,1,0,08-05-2023,32,0,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0
4855,1984,Doktor,Zusammenlebend,30351.0,1,0,06-06-2023,19,0,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,1
5899,1960,Doktor,Zusammenlebend,5648.0,1,1,13-03-2024,68,0,28,0,6,1,1,13,1,1,0,0,20,0,0,1,0,0,0
1994,1993,Hochschulabschluss,Verheiratet,,1,0,15-11-2023,11,0,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0
387,1986,Grundbildung,Verheiratet,7500.0,0,0,13-11-2022,59,0,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0
2125,1969,Hochschulabschluss,Geschieden,63033.0,0,0,15-11-2023,82,0,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0
8180,1962,Master,Geschieden,59354.0,1,1,15-11-2023,53,0,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0
2569,1997,Hochschulabschluss,Verheiratet,17323.0,0,0,10-10-2022,38,0,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0
2114,1956,Doktor,Ledig,82800.0,0,0,24-11-2022,23,0,1006,22,115,59,68,45,1,7,6,12,3,1,0,0,0,1,1
9736,1990,Hochschulabschluss,Verheiratet,41850.0,1,1,24-12-2022,51,0,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0
4939,1956,Hochschulabschluss,Zusammenlebend,37760.0,0,0,31-08-2022,20,0,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0
6565,1959,Master,Verheiratet,76995.0,0,1,28-03-2023,91,0,1012,80,498,0,16,176,2,11,4,9,5,1,0,0,0,0,0
